dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000004,0.005000,0.002400,0.240000,12.000000,600.000000,6.282426
0.020000,0.000000,0.005000,0.002404,0.000180,-11.991007,-1199.550360,6.283145
0.020000,0.011595,0.005007,0.013998,0.579733,28.977661,2048.433410,0.001162
0.020000,0.028386,0.005040,0.030790,0.839576,12.992168,-799.274660,0.002852
0.020000,0.049975,0.005126,0.052378,1.079424,11.992357,-49.990527,0.005038
0.020000,0.076362,0.005294,0.078766,1.319379,11.997751,0.269711,0.007729
0.020000,0.107544,0.005585,0.109949,1.559179,11.990026,-0.386258,0.010936
0.020000,0.143523,0.006046,0.145931,1.799088,11.995468,0.272099,0.014675
0.020000,0.184295,0.006731,0.186710,2.038923,11.991742,-0.186301,0.018963
0.020000,0.229860,0.007706,0.232285,2.278773,11.992502,0.037971,0.023818
0.020000,0.280216,0.009042,0.282658,2.518647,11.993678,0.058795,0.029265
0.020000,0.335356,0.010823,0.337827,2.758448,11.990070,-0.180400,0.035328
0.020000,0.395278,0.013142,0.397794,2.998344,11.994782,0.235612,0.042036
0.020000,0.459973,0.016101,0.462556,3.238117,11.988673,-0.305446,0.049424
0.020000,0.529433,0.019818,0.532116,3.477995,11.993893,0.260992,0.057527
0.020000,0.603646,0.024421,0.606471,3.717766,11.988549,-0.267181,0.066388
0.020000,0.682596,0.030052,0.685623,3.957552,11.989287,0.036880,0.076053
0.020000,0.766266,0.036868,0.769569,4.197342,11.989478,0.009585,0.086572
0.020000,0.854631,0.045044,0.858312,4.437145,11.990194,0.035794,0.098005
0.020000,0.947661,0.054771,0.951849,4.676846,11.985037,-0.257860,0.110415
0.020000,1.045320,0.066260,1.050181,4.916606,11.988002,0.148258,0.123872
0.020000,1.147561,0.079744,1.153307,5.156310,11.985164,-0.141938,0.138455
0.020000,1.254328,0.095477,1.261228,5.396001,11.984552,-0.030587,0.154251
0.020000,1.365551,0.113740,1.373941,5.635654,11.982690,-0.093068,0.171353
0.020000,1.481147,0.134841,1.491446,5.875268,11.980675,-0.100787,0.189867
0.020000,1.598666,0.158617,1.611346,5.995005,5.986836,-299.691945,0.209506
0.020000,1.715681,0.184741,1.731242,5.994788,-0.010831,-299.883347,0.229925
0.020000,1.832123,0.213294,1.851133,5.994565,-0.011129,-0.014872,0.251151
0.020000,1.947915,0.244359,1.971020,5.994355,-0.010536,0.029614,0.273207
0.020000,2.062976,0.278017,2.090903,5.994152,-0.010131,0.020278,0.296116
0.020000,2.177215,0.314351,2.210781,5.993905,-0.012373,-0.112094,0.319895
0.020000,2.290537,0.353439,2.330655,5.993673,-0.011584,0.039417,0.344557
0.020000,2.402837,0.395359,2.450524,5.993469,-0.010171,0.070671,0.370111
0.020000,2.514005,0.440181,2.570388,5.993194,-0.013792,-0.181036,0.396559
0.020000,2.623923,0.487975,2.690247,5.992968,-0.011286,0.125253,0.423895
0.020000,2.732468,0.538801,2.810102,5.992751,-0.010851,0.021778,0.452105
0.020000,2.839508,0.592713,2.929953,5.992512,-0.011924,-0.053662,0.481166
0.020000,2.944910,0.649753,3.049799,5.992324,-0.009438,0.124326,0.511045
0.020000,3.048534,0.709955,3.169641,5.992100,-0.011168,-0.086514,0.541697
0.020000,3.150237,0.773339,3.289479,5.991904,-0.009813,0.067740,0.573065
0.020000,3.249878,0.839913,3.409314,5.991733,-0.008527,0.064291,0.605083
0.020000,3.347314,0.909670,3.529146,5.991591,-0.007149,0.068908,0.637671
0.020000,3.442404,0.982586,3.648975,5.991455,-0.006769,0.018990,0.670740
0.020000,3.535016,1.058623,3.768802,5.991352,-0.005144,0.081269,0.704190
