dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000004,-0.005000,0.002400,0.240000,12.000000,600.000000,6.282426
0.020000,-0.000000,-0.005000,0.002404,0.000180,-11.991007,-1199.550360,6.283145
0.020000,0.011606,-0.004993,0.014010,0.580334,29.007713,2049.936019,0.001162
0.020000,0.028415,-0.004960,0.030819,0.840421,13.004369,-800.167227,0.002852
0.020000,0.050025,-0.004874,0.052429,1.080516,12.004743,-49.981288,0.005038
0.020000,0.076439,-0.004706,0.078844,1.320724,12.010383,0.282005,0.007729
0.020000,0.107653,-0.004415,0.110059,1.560783,12.002948,-0.371725,0.010936
0.020000,0.143669,-0.003953,0.146078,1.800958,12.008756,0.290357,0.014675
0.020000,0.184485,-0.003267,0.186900,2.041067,12.005450,-0.165286,0.018963
0.020000,0.230099,-0.002291,0.232524,2.281201,12.006703,0.062658,0.023818
0.020000,0.280508,-0.000954,0.282951,2.521370,12.008447,0.087193,0.029265
0.020000,0.335709,0.000829,0.338181,2.761480,12.005481,-0.148292,0.035328
0.020000,0.395698,0.003150,0.398215,3.001698,12.010931,0.272474,0.042036
0.020000,0.460467,0.006114,0.463051,3.241811,12.005640,-0.264518,0.049424
0.020000,0.530008,0.009835,0.532692,3.482047,12.011793,0.307646,0.057527
0.020000,0.604309,0.014443,0.607136,3.722197,12.007482,-0.215580,0.066388
0.020000,0.683356,0.020081,0.686383,3.962384,12.009380,0.094906,0.076053
0.020000,0.767131,0.026906,0.770435,4.202602,12.010864,0.074234,0.086572
0.020000,0.855610,0.035092,0.859293,4.442862,12.013020,0.107761,0.098005
0.020000,0.948763,0.044832,0.952954,4.683051,12.009453,-0.178324,0.110415
0.020000,1.046555,0.056337,1.051420,4.923335,12.014193,0.236987,0.123872
0.020000,1.148941,0.069840,1.154692,5.163601,12.013309,-0.044195,0.138455
0.020000,1.255864,0.085596,1.262770,5.403898,12.014858,0.077428,0.154251
0.020000,1.367257,0.103887,1.375655,5.644206,12.015371,0.025656,0.171353
0.020000,1.483034,0.125020,1.493345,5.884525,12.015956,0.029283,0.189867
0.020000,1.600746,0.148836,1.613441,6.004824,6.014942,-300.050697,0.209506
0.020000,1.717960,0.175004,1.733541,6.004997,0.008691,-300.312583,0.229925
0.020000,1.834608,0.203607,1.853645,6.005178,0.009040,0.017469,0.251151
0.020000,1.950613,0.234730,1.973753,6.005383,0.010232,0.059605,0.273207
0.020000,2.065894,0.268453,2.093865,6.005606,0.011171,0.046958,0.296116
0.020000,2.180360,0.304859,2.213981,6.005794,0.009372,-0.089968,0.319895
0.020000,2.293915,0.344027,2.334101,6.006004,0.010501,0.056428,0.344557
0.020000,2.406455,0.386036,2.454226,6.006246,0.012124,0.081154,0.370111
0.020000,2.517868,0.430957,2.574354,6.006417,0.008544,-0.178992,0.396559
0.020000,2.628037,0.478860,2.694487,6.006635,0.010918,0.118728,0.423895
0.020000,2.736837,0.529806,2.814624,6.006856,0.011008,0.004492,0.452105
0.020000,2.844137,0.583848,2.934765,6.007043,0.009350,-0.082932,0.481166
0.020000,2.949801,0.641031,3.054910,6.007263,0.011001,0.082576,0.511045
0.020000,3.053690,0.701387,3.175058,6.007426,0.008150,-0.142568,0.541697
0.020000,3.155659,0.764937,3.295210,6.007588,0.008104,-0.002269,0.573065
0.020000,3.255566,0.831689,3.415365,6.007742,0.007700,-0.020191,0.605083
0.020000,3.353267,0.901635,3.535523,6.007884,0.007107,-0.029675,0.637671
0.020000,3.448620,0.974752,3.655682,6.007989,0.005248,-0.092951,0.670740
0.020000,3.541490,1.051002,3.775844,6.008077,0.004403,-0.042260,0.704190
