dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000002,0.005000,0.006000,0.600000,30.000000,1500.000000,6.282785
0.020000,0.013994,0.005010,0.019992,0.699609,4.980456,-1250.977190,0.001403
0.020000,0.043979,0.005097,0.049977,1.499243,39.981692,1750.061788,0.004429
0.020000,0.085956,0.005373,0.091956,2.098925,29.984080,-499.880618,0.008712
0.020000,0.139924,0.005993,0.145927,2.698564,29.981978,-0.105081,0.014300
0.020000,0.205879,0.007165,0.211892,3.298269,29.985256,0.163924,0.021254
0.020000,0.283812,0.009148,0.289850,3.897888,29.980930,-0.216347,0.029657
0.020000,0.373707,0.012261,0.379800,4.497481,29.979668,-0.063069,0.039607
0.020000,0.475544,0.016886,0.481741,5.097084,29.980120,0.022610,0.051225
0.020000,0.589285,0.023479,0.595673,5.696592,29.975445,-0.233783,0.064657
0.020000,0.708901,0.032099,0.715599,5.996294,14.985097,-749.517375,0.079329
0.020000,0.828371,0.042508,0.835522,5.996130,-0.008242,-749.666979,0.094572
0.020000,0.947661,0.054771,0.955441,5.995959,-0.008530,-0.014377,0.110415
0.020000,1.066735,0.068959,1.075357,5.995805,-0.007723,0.040369,0.126884
0.020000,1.185551,0.085145,1.195270,5.995668,-0.006836,0.044338,0.144008
0.020000,1.304062,0.103402,1.315180,5.995466,-0.010100,-0.163222,0.161815
0.020000,1.422219,0.123808,1.435085,5.995270,-0.009778,0.016112,0.180333
0.020000,1.539965,0.146440,1.554987,5.995096,-0.008697,0.054064,0.199591
0.020000,1.657241,0.171380,1.674885,5.994903,-0.009656,-0.047941,0.219616
0.020000,1.773978,0.198708,1.794778,5.994655,-0.012424,-0.138437,0.240435
0.020000,1.890105,0.228507,1.914668,5.994500,-0.007724,0.234997,0.262074
0.020000,2.005543,0.260859,2.034553,5.994244,-0.012809,-0.254243,0.284554
0.020000,2.120204,0.295845,2.154433,5.994024,-0.010987,0.091103,0.307896
0.020000,2.233997,0.333546,2.274309,5.993803,-0.011069,-0.004089,0.332115
0.020000,2.346822,0.374040,2.394180,5.993550,-0.012631,-0.078122,0.357223
0.020000,2.458570,0.417403,2.514047,5.993335,-0.010741,0.094525,0.383223
0.020000,2.569128,0.463703,2.633909,5.993068,-0.013393,-0.132621,0.410116
0.020000,2.678375,0.513006,2.753766,5.992870,-0.009878,0.175762,0.437892
0.020000,2.786185,0.565368,2.873619,5.992630,-0.012026,-0.107416,0.466531
0.020000,2.892423,0.620839,2.993467,5.992417,-0.010639,0.069373,0.496006
0.020000,2.996953,0.679457,3.113311,5.992213,-0.010184,0.022760,0.526277
