dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000002,-0.005000,0.006000,0.600000,30.000000,1500.000000,6.282785
0.020000,0.014008,-0.004990,0.020010,0.700511,5.025529,-1248.723558,0.001403
0.020000,0.044023,-0.004903,0.050025,1.500756,40.012276,1749.337356,0.004429
0.020000,0.086044,-0.004627,0.092047,2.101066,30.015498,-499.838896,0.008712
0.020000,0.140067,-0.004006,0.146074,2.701358,30.014584,-0.045681,0.014300
0.020000,0.206092,-0.002833,0.212109,3.301747,30.019446,0.243071,0.021254
0.020000,0.284108,-0.000847,0.290151,3.902089,30.017122,-0.116174,0.029657
0.020000,0.374103,0.002268,0.380200,4.502456,30.018346,0.061193,0.039607
0.020000,0.476056,0.006899,0.482257,5.102893,30.021827,0.174042,0.051225
0.020000,0.589931,0.013500,0.596324,5.703308,30.020792,-0.051733,0.064657
0.020000,0.709693,0.022131,0.716396,6.003630,15.016092,-750.235001,0.079329
0.020000,0.829315,0.032552,0.836471,6.003751,0.006058,-750.501710,0.094572
0.020000,0.948763,0.044832,0.956549,6.003880,0.006441,0.019147,0.110415
0.020000,1.068000,0.059040,1.076630,6.004039,0.007938,0.074853,0.126884
0.020000,1.186986,0.075248,1.196714,6.004230,0.009529,0.079529,0.144008
0.020000,1.305673,0.093533,1.316802,6.004369,0.006971,-0.127891,0.161815
0.020000,1.424012,0.113970,1.436892,6.004529,0.008007,0.051813,0.180333
0.020000,1.541948,0.136639,1.556987,6.004725,0.009798,0.089558,0.199591
0.020000,1.659419,0.161620,1.677085,6.004916,0.009531,-0.013365,0.219616
0.020000,1.776359,0.188996,1.797186,6.005064,0.007424,-0.105377,0.240435
0.020000,1.892696,0.218849,1.917293,6.005319,0.012757,0.266667,0.262074
0.020000,2.008350,0.251261,2.037402,6.005484,0.008231,-0.226292,0.284554
0.020000,2.123235,0.286315,2.157516,6.005695,0.010549,0.115884,0.307896
0.020000,2.237258,0.324093,2.277635,6.005912,0.010863,0.015691,0.332115
0.020000,2.350318,0.364672,2.397757,6.006104,0.009573,-0.064493,0.357223
0.020000,2.462309,0.408128,2.517883,6.006336,0.011598,0.101268,0.383223
0.020000,2.573115,0.454532,2.638014,6.006514,0.008900,-0.134926,0.410116
0.020000,2.682616,0.503949,2.758149,6.006757,0.012185,0.164253,0.437892
0.020000,2.790683,0.556437,2.878288,6.006949,0.009570,-0.130753,0.466531
0.020000,2.897182,0.612044,2.998431,6.007154,0.010251,0.034064,0.496006
0.020000,3.001976,0.670810,3.118578,6.007348,0.009730,-0.026036,0.526277
0.020000,3.104923,0.732762,3.238728,6.007495,0.007317,-0.120671,0.557295
0.020000,3.205880,0.797913,3.358881,6.007684,0.009470,0.107684,0.588998
0.020000,3.304701,0.866264,3.479037,6.007807,0.006170,-0.165021,0.621311
0.020000,3.401245,0.937799,3.599196,6.007929,0.006059,-0.005567,0.654151
0.020000,3.495374,1.012488,3.719357,6.008043,0.005729,-0.016492,0.687424
0.020000,3.586953,1.090285,3.839519,6.008116,0.003621,-0.105403,0.721026
0.020000,3.675858,1.171125,3.959683,6.008165,0.002478,-0.057145,0.754847
0.020000,3.761973,1.254931,4.079846,6.008189,0.001196,-0.064105,0.788774
0.020000,3.845196,1.341610,4.200010,6.008186,-0.000150,-0.067297,0.822689
0.020000,3.925437,1.431056,4.320173,6.008156,-0.001509,-0.067947,0.856476
0.020000,4.002619,1.523153,4.440335,6.008099,-0.002827,-0.065880,0.890021
0.020000,4.076684,1.617772,4.560496,6.008019,-0.004017,-0.059534,0.923216
0.020000,4.147588,1.714781,4.680654,6.007920,-0.004942,-0.046204,0.955959
0.020000,4.215303,1.814038,4.800810,6.007783,-0.006877,-0.096790,0.988157
0.020000,4.279817,1.915402,4.920962,6.007634,-0.007412,-0.026741,1.019728
0.020000,4.341133,2.018728,5.041112,6.007482,-0.007608,-0.009788,1.050602
