dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.002400,0.240000,12.000000,600.000000,6.282426
0.020000,0.000000,0.000000,0.009600,0.480000,12.000000,0.000000,6.283145
0.020000,0.011601,0.000007,0.021600,0.720000,12.000000,0.000000,0.001162
0.020000,0.028401,0.000040,0.038400,0.960000,12.000000,0.000000,0.002852
0.020000,0.050000,0.000126,0.060000,1.200000,12.000000,0.000000,0.005038
0.020000,0.076400,0.000294,0.086400,1.440000,12.000000,-0.000000,0.007729
0.020000,0.107599,0.000585,0.117600,1.680000,12.000000,0.000000,0.010936
0.020000,0.143596,0.001046,0.153600,1.920000,12.000000,-0.000000,0.014675
0.020000,0.184390,0.001732,0.194400,2.160000,12.000000,0.000000,0.018963
0.020000,0.229980,0.002707,0.240000,2.400000,12.000000,0.000000,0.023818
0.020000,0.280362,0.004044,0.290400,2.640000,12.000000,-0.000000,0.029265
0.020000,0.335533,0.005826,0.345600,2.880000,12.000000,0.000000,0.035328
0.020000,0.395488,0.008146,0.405600,3.120000,12.000000,0.000000,0.042036
0.020000,0.460220,0.011107,0.470400,3.360000,12.000000,0.000000,0.049424
0.020000,0.529721,0.014827,0.540000,3.600000,12.000000,-0.000000,0.057527
0.020000,0.603978,0.019432,0.614400,3.840000,12.000000,0.000000,0.066388
0.020000,0.682976,0.025066,0.693600,4.080000,12.000000,0.000000,0.076053
0.020000,0.766698,0.031887,0.777600,4.320000,12.000000,0.000000,0.086572
0.020000,0.855121,0.040068,0.866400,4.560000,12.000000,0.000000,0.098005
0.020000,0.948212,0.049802,0.960000,4.800000,12.000000,0.000000,0.110415
0.020000,1.045938,0.061299,1.058400,5.040000,12.000000,-0.000000,0.123872
0.020000,1.148251,0.074792,1.161600,5.280000,12.000000,0.000000,0.138455
0.020000,1.255096,0.090536,1.269600,5.520000,12.000000,0.000000,0.154251
0.020000,1.366404,0.108813,1.382400,5.760000,12.000000,-0.000000,0.171353
0.020000,1.482090,0.129931,1.500000,6.000000,12.000000,0.000000,0.189867
0.020000,1.599706,0.153726,1.620000,6.000000,0.000000,-600.000000,0.209506
0.020000,1.716821,0.179872,1.740000,6.000000,0.000000,0.000000,0.229925
0.020000,1.833365,0.208451,1.860000,6.000000,0.000000,0.000000,0.251151
0.020000,1.949264,0.239544,1.980000,6.000000,0.000000,0.000000,0.273207
0.020000,2.064435,0.273235,2.100000,6.000000,0.000000,0.000000,0.296116
0.020000,2.178788,0.309605,2.220000,6.000000,0.000000,0.000000,0.319895
0.020000,2.292226,0.348733,2.340000,6.000000,0.000000,0.000000,0.344557
0.020000,2.404646,0.390697,2.460000,6.000000,0.000000,0.000000,0.370111
0.020000,2.515936,0.435569,2.580000,6.000000,0.000000,0.000000,0.396559
